BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
SMAL,2022-10-12,Сбербанк,SBER,37,10212.31,107.0,105.0,107.91,,106.48,105.0,97,,,,0.0,0.0,0.0,0,3,SUR,-0.1
TQBR,2022-10-12,Сбербанк,SBER,114178,6748220830.6,108.27,105.25,108.5,106.13,106.48,105.9,63378400,106.51,106.51,106.13,6420209441.2,6420209441.2,6420209441.2,0,3,SUR,-1.69
SMAL,2022-10-13,Сбербанк,SBER,36,10928.11,104.01,103.51,106.49,,106.14,106.49,104,,,,0.0,0.0,0.0,0,3,SUR,1.42
TQBR,2022-10-13,Сбербанк,SBER,100238,4973132486.8,105.72,104.8,107.3,106.56,106.14,106.5,46849810,106.13,106.13,106.56,4696887069.9,4696887069.9,4696887069.9,0,3,SUR,0.57
SMAL,2022-10-14,Сбербанк,SBER,39,9384.89,117.77,104.33,117.77,,107.14,108.28,88,,,,0.0,0.0,0.0,0,3,SUR,1.68
TQBR,2022-10-14,Сбербанк,SBER,104933,5631814421.3,106.92,105.69,109.19,107.68,107.14,107.78,52565400,107.09,107.09,107.68,5140104050.1,5140104050.1,5140104050.1,0,3,SUR,1.2
SMAL,2022-10-17,Сбербанк,SBER,54,17275.66,108.94,108.31,111.98,,110.58,109.63,156,,,,0.0,0.0,0.0,0,3,SUR,1.25
TQBR,2022-10-17,Сбербанк,SBER,142876,8680124454.5,107.93,107.65,112.76,112.1,110.58,112.44,78496550,110.44,110.44,112.1,8038035824.0,8038035824.0,8038035824.0,0,3,SUR,4.32
SMAL,2022-10-18,Сбербанк,SBER,77,27236.39,112.15,111.0,114.49,,112.6,112.09,241,,,,0.0,0.0,0.0,0,3,SUR,2.24
TQBR,2022-10-18,Сбербанк,SBER,181538,11468880403.2,113.05,110.48,114.37,113.2,112.6,110.88,101854810,112.83,112.83,113.2,9247732639.1,9247732639.1,9247732639.1,0,3,SUR,-1.39
SMAL,2022-10-19,Сбербанк,SBER,35,13631.76,114.99,107.01,114.99,,110.79,110.0,124,,,,0.0,0.0,0.0,0,3,SUR,-1.86
TQBR,2022-10-19,Сбербанк,SBER,160685,10047779304.8,110.12,109.3,112.93,111.43,110.79,112.39,90693010,110.66,110.66,111.43,9105622882.0,9105622882.0,9105622882.0,0,3,SUR,1.36
SMAL,2022-10-20,Сбербанк,SBER,59,23110.74,111.0,111.0,116.0,,115.29,115.0,201,,,,0.0,0.0,0.0,0,3,SUR,4.55
TQBR,2022-10-20,Сбербанк,SBER,186088,11611619802.2,112.75,112.37,117.2,116.06,115.29,116.98,100723600,115.2,115.2,116.06,10707069289.5,10707069289.5,10707069289.5,0,3,SUR,4.08
SMAL,2022-10-21,Сбербанк,SBER,53,21391.88,114.09,114.09,118.97,,117.18,118.65,183,,,,0.0,0.0,0.0,0,3,SUR,3.17
TQBR,2022-10-21,Сбербанк,SBER,185601,11996337348.7,116.93,114.37,119.94,118.55,117.18,119.45,102382050,116.74,116.74,118.55,9981664941.9,9981664941.9,9981664941.9,0,3,SUR,2.11
SMAL,2022-10-24,Сбербанк,SBER,110,39151.64,120.27,117.0,120.48,,119.39,119.0,334,,,,0.0,0.0,0.0,0,3,SUR,0.29
TQBR,2022-10-24,Сбербанк,SBER,161324,8899628781.0,120.15,117.65,121.68,118.9,119.39,118.8,74539310,119.42,119.42,118.9,8439972861.7,8439972861.7,8439972861.7,0,3,SUR,-0.54
SMAL,2022-10-25,Сбербанк,SBER,62,22662.11,116.58,116.4,124.4,,122.54,124.05,186,,,,0.0,0.0,0.0,0,3,SUR,4.24
TQBR,2022-10-25,Сбербанк,SBER,231247,13988406291.3,118.84,118.3,125.2,124.69,122.54,124.36,114156750,122.41,122.41,124.69,13005462210.7,13005462210.7,13005462210.7,0,3,SUR,4.68
SMAL,2022-10-26,Сбербанк,SBER,19,8807.85,123.79,122.1,127.0,,124.34,126.7,71,,,,0.0,0.0,0.0,0,3,SUR,2.14
TQBR,2022-10-26,Сбербанк,SBER,212260,13490587416.3,124.7,122.1,126.88,124.12,124.34,124.43,108495360,124.34,124.34,124.12,12797423263.5,12797423263.5,12797423263.5,0,3,SUR,0.06
SMAL,2022-10-27,Сбербанк,SBER,204,97719.93,125.0,123.0,139.05,,126.25,125.0,768,,,,0.0,0.0,0.0,0,3,SUR,-1.34
TQBR,2022-10-27,Сбербанк,SBER,171670,11099070231.0,124.75,123.68,127.5,127.17,126.25,126.61,87915140,126.21,126.21,127.17,10436388811.8,10436388811.8,10436388811.8,0,3,SUR,1.75
SMAL,2022-10-28,Сбербанк,SBER,69,29673.76,126.0,123.79,127.89,,126.12,127.47,237,,,,0.0,0.0,0.0,0,3,SUR,1.98
TQBR,2022-10-28,Сбербанк,SBER,149544,9289876913.2,126.14,124.6,127.25,126.74,126.12,126.97,73660000,126.07,126.07,126.74,8611672405.6,8611672405.6,8611672405.6,0,3,SUR,0.28
SMAL,2022-10-31,Сбербанк,SBER,77,32319.34,127.95,125.0,128.59,,126.81,127.44,258,,,,0.0,0.0,0.0,0,3,SUR,-0.02
TQBR,2022-10-31,Сбербанк,SBER,139389,7705148783.6,127.2,125.41,128.6,126.19,126.81,126.72,60762870,126.84,126.84,126.19,7248841345.7,7248841345.7,7248841345.7,0,3,SUR,-0.2
SMAL,2022-11-01,Сбербанк,SBER,49,22097.7,127.97,126.0,128.96,,127.07,126.0,175,,,,0.0,0.0,0.0,0,3,SUR,-1.13
TQBR,2022-11-01,Сбербанк,SBER,80966,4678424679.9,127.2,126.12,127.97,127.1,127.07,127.05,36820880,127.05,127.05,127.1,4336068317.5,4336068317.5,4336068317.5,0,3,SUR,0.26
SMAL,2022-11-02,Сбербанк,SBER,68,25711.24,125.79,124.33,128.0,,126.61,124.33,204,,,,0.0,0.0,0.0,0,3,SUR,-1.33
TQBR,2022-11-02,Сбербанк,SBER,91488,5091797153.1,127.06,123.75,127.74,127.14,126.61,125.49,40216620,127.03,127.03,127.14,3425493623.3,3425493623.3,3425493623.3,0,3,SUR,-1.23
SMAL,2022-11-03,Сбербанк,SBER,43,17504.22,124.33,122.81,127.85,,125.07,126.94,141,,,,0.0,0.0,0.0,0,3,SUR,2.1
TQBR,2022-11-03,Сбербанк,SBER,103937,5968383629.5,125.4,123.91,126.1,125.45,125.07,125.75,47720130,125.04,125.04,125.45,5481048131.3,5481048131.3,5481048131.3,0,3,SUR,0.21
SMAL,2022-11-07,Сбербанк,SBER,128,46262.13,124.78,124.78,132.97,,129.58,132.0,356,,,,0.0,0.0,0.0,0,3,SUR,3.99
TQBR,2022-11-07,Сбербанк,SBER,189795,11884172361.2,127.09,126.5,132.0,131.63,129.58,132.0,91709630,129.38,129.38,131.63,10759954219.4,10759954219.4,10759954219.4,0,3,SUR,4.97
