,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
926,TQBR,2022-11-08,SBER,143560,9132676225.5,132.0,130.1,133.11,131.3,131.29,69556040,131.17,8245166160.3,-0.54
928,TQBR,2022-11-09,SBER,127792,8392114411.7,131.06,126.42,131.47,129.19,127.3,64961510,128.29,6289207487.2,-3.04
930,TQBR,2022-11-10,SBER,284549,22986670666.3,131.0,129.77,136.69,133.86,136.68,171748310,135.87,21438639450.5,7.37
932,TQBR,2022-11-11,SBER,167566,10343394282.0,137.9,135.13,138.42,136.62,136.98,75710240,136.74,9286173308.7,0.22
934,TQBR,2022-11-14,SBER,154294,11457421132.4,137.5,135.83,140.7,138.85,139.8,82521030,139.82,10408226226.3,2.06
936,TQBR,2022-11-15,SBER,230804,19905669470.0,140.49,130.86,141.0,136.78,135.66,145543250,137.9,10203880775.8,-2.96
938,TQBR,2022-11-16,SBER,125773,9275650502.9,136.99,136.32,139.73,138.26,139.18,67090170,139.0,8569311728.1,2.59
940,TQBR,2022-11-17,SBER,109573,8183196558.2,139.09,136.6,140.35,138.32,137.57,59160240,137.6,7549300911.8,-1.16
942,TQBR,2022-11-18,SBER,84057,6017150012.2,137.08,135.84,137.81,136.47,136.89,44076540,136.01,5336128209.0,-0.49
944,TQBR,2022-11-21,SBER,174869,11204179692.7,136.01,132.51,136.3,133.98,134.46,83599930,133.38,9244092171.1,-1.78
946,TQBR,2022-11-22,SBER,85039,6185848298.4,134.55,133.81,136.0,134.99,135.65,45822990,135.75,5413261332.4,0.89
948,TQBR,2022-11-23,SBER,103415,7131237802.3,135.7,134.5,137.55,136.35,136.59,52302020,136.87,6648870078.8,0.69
950,TQBR,2022-11-24,SBER,83293,5825797012.7,137.0,136.12,138.41,137.44,136.61,42388720,136.82,5251826851.6,0.01
952,TQBR,2022-11-25,SBER,62975,4032240523.4,137.2,135.41,137.24,136.14,136.53,29618830,136.33,3640518414.8,-0.06
954,TQBR,2022-11-28,SBER,98844,6119857086.1,135.02,134.1,136.2,135.17,135.53,45275110,135.77,5578827730.5,-0.73
