TRADEDATE,BOARDID,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,TRENDCLSPR
2023-06-02,TQBR,SBER,126194,11331232122.6,242.0,240.77,245.5,243.46,243.95,46542940,0.95
2023-06-05,TQBR,SBER,174382,18897132269.5,243.51,235.1,244.15,240.02,237.12,78742190,-2.8
2023-06-06,TQBR,SBER,233623,23816658058.8,235.92,232.54,242.1,236.65,240.91,100640180,1.6
2023-06-07,TQBR,SBER,140235,15268682081.7,241.2,238.56,244.39,241.86,241.25,63130930,0.14
2023-06-08,TQBR,SBER,76070,7222971807.9,241.3,239.55,242.78,241.21,241.77,29945470,0.22
2023-06-09,TQBR,SBER,77108,6659895379.3,242.8,240.11,243.0,241.57,240.4,27569100,-0.57
2023-06-13,TQBR,SBER,97120,9863948131.0,241.51,240.63,244.5,243.24,244.33,40551890,1.63
2023-06-14,TQBR,SBER,110642,12822239153.4,245.7,242.8,247.68,245.61,244.6,52205640,0.11
2023-06-15,TQBR,SBER,99607,9807475223.8,245.11,243.22,245.94,244.8,245.18,40063590,0.24
2023-06-16,TQBR,SBER,62790,5729888135.6,245.5,243.7,245.9,244.44,243.87,23441160,-0.53
2023-06-19,TQBR,SBER,90697,7239082414.0,244.47,241.32,244.69,242.55,242.28,29844240,-0.65
2023-06-20,TQBR,SBER,93036,8820107717.8,241.99,238.82,242.22,240.84,241.74,36621960,-0.22
2023-06-21,TQBR,SBER,72199,6509866591.4,241.9,240.6,243.92,242.65,242.2,26830770,0.19
2023-06-22,TQBR,SBER,70137,5590904541.9,242.15,240.13,242.8,241.68,240.66,23136750,-0.64
2023-06-23,TQBR,SBER,154014,14736944961.5,239.98,234.34,240.99,238.13,235.67,61886110,-2.07
2023-06-26,TQBR,SBER,173093,19509065518.1,239.6,233.4,240.5,237.87,238.4,82016390,1.16
2023-06-27,TQBR,SBER,108905,12350836600.0,239.02,236.8,242.34,239.98,241.21,51466410,1.18
