Date,FuturesCode,WeightedAvgPrice,SettlementPrice,FirstDealPrice,MaxPrice,MinPrice,LastDealPrice,Change,VolumeLastDeal,NumOfDeals,TradingVolume RUB,TradingVolume contr,OpenPositionsVolume RUB,OpenPositionsVolume contr,MarginRequirements
07.06.2023,SiM3,81 463,81 878,81 260,81 913,81 128,81 882,"+0,75 %",3,214 451,70 072 643 350,860 225,280 611 462 820,3 427 190,12 400
08.06.2023,SiM3,82 193,82 604,81 880,82 769,81 751,82 552,"+0,82 %",2,207 208,75 076 726 150,913 557,266 646 372 832,3 228 008,12 494
09.06.2023,SiM3,82 539,82 496,82 560,83 010,82 150,82 525,"-0,03 %",2,232 702,82 633 072 263,1 001 085,233 089 478 144,2 825 464,12 428
13.06.2023,SiM3,83 723,84 457,82 527,84 498,82 432,84 497,"+2,39 %",1,337 542,141 470 093 975,1 689 906,177 166 462 384,2 097 712,12 658
14.06.2023,SiM3,84 439,84 131,84 495,85 176,83 761,84 121,"-0,44 %",4,276 578,102 364 828 330,1 212 315,128 685 599 766,1 529 586,12 614
15.06.2023,SiM3,84 342,83 713,84 163,84 759,83 662,83 717,"-0,48 %",2,88 156,67 721 888 257,802 943,-,-,12 584
16.06.2023,SiU3,83 258,83 843,83 157,83 880,82 809,83 880,"+0,90 %",15,244 488,81 523 337 961,979 164,280 913 623 896,3 350 472,13 377
19.06.2023,SiU3,83 590,83 635,83 849,84 132,83 254,83 635,"-0,29 %",13,222 508,76 822 745 555,919 041,290 105 059 040,3 468 704,13 351
20.06.2023,SiU3,83 956,84 482,83 630,84 577,83 462,84 465,"+0,99 %",13,209 247,76 454 687 671,910 649,307 043 408 368,3 634 424,13 439
21.06.2023,SiU3,83 473,82 893,84 494,84 523,82 627,82 900,"-1,85 %",100,343 881,150 449 450 932,1 802 364,359 022 016 950,4 331 150,13 305
22.06.2023,SiU3,82 787,83 329,82 900,83 476,82 256,83 316,"+0,50 %",5,254 737,89 219 143 308,1 077 693,367 661 547 272,4 412 168,13 311
23.06.2023,SiU3,83 497,83 866,83 375,84 176,82 672,83 863,"+0,66 %",1,295 270,97 152 846 043,1 163 548,376 718 356 328,4 491 908,13 429
26.06.2023,SiU3,84 002,84 035,83 870,85 100,83 343,84 027,"+0,20 %",2,367 934,141 288 898 025,1 681 972,404 243 812 770,4 810 422,13 484
27.06.2023,SiU3,84 240,84 362,84 020,84 656,83 687,84 365,"+0,40 %",13,253 514,80 284 428 537,953 047,411 629 362 564,4 879 322,13 498
28.06.2023,SiU3,85 220,85 753,84 342,86 030,84 167,85 776,"+1,67 %",13,286 243,110 788 615 049,1 300 036,410 061 413 170,4 781 890,13 702
29.06.2023,SiU3,86 508,86 977,85 783,87 099,85 536,87 015,"+1,44 %",1,326 453,123 379 191 452,1 426 230,424 752 005 546,4 883 498,13 886
30.06.2023,SiU3,87 817,88 718,87 030,88 963,86 680,88 698,"+1,93 %",1,588 259,245 087 938 802,2 790 897,437 003 575 680,4 925 760,14 239
03.07.2023,SiU3,88 072,87 297,88 714,88 791,87 273,87 320,"-1,55 %",14,396 200,138 741 739 993,1 575 311,448 660 661 778,5 139 474,14 066
04.07.2023,SiU3,87 735,87 590,87 320,88 862,86 820,87 598,"+0,32 %",9,487 529,169 448 735 097,1 931 357,477 953 579 260,5 456 714,14 225
05.07.2023,SiU3,88 432,89 024,87 580,89 200,87 365,89 001,"+1,60 %",17,469 051,160 548 240 250,1 815 492,512 975 517 184,5 762 216,14 467
06.07.2023,SiU3,90 099,89 584,89 000,91 394,88 831,89 618,"+0,69 %",1,636 353,211 965 999 131,2 352 591,514 734 076 384,5 745 826,14 518
07.07.2023,SiU3,89 993,89 900,89 644,90 478,89 356,89 909,"+0,32 %",7,296 539,90 154 766 749,1 001 796,520 694 686 800,5 791 932,14 517
10.07.2023,SiU3,89 437,88 807,89 889,90 436,88 507,88 760,"-1,28 %",1,322 175,100 640 614 487,1 125 264,520 291 617 146,5 858 678,14 388
11.07.2023,SiU3,88 634,88 600,88 755,89 398,88 098,88 562,"-0,22 %",9,328 265,96 929 293 277,1 093 595,520 239 176 400,5 871 774,14 334
12.07.2023,SiU3,89 354,89 779,88 540,90 040,88 357,89 753,"+1,34 %",18,368 065,128 937 978 781,1 443 004,528 699 373 542,5 888 898,14 419
13.07.2023,SiU3,89 091,88 833,89 751,90 270,88 450,88 825,"-1,03 %",1,335 583,106 871 548 262,1 199 564,519 277 387 818,5 845 546,14 303
14.07.2023,SiU3,89 252,89 370,88 820,89 676,88 588,89 380,"+0,62 %",1,297 051,111 104 983 590,1 244 925,494 091 696 960,5 528 608,14 304
17.07.2023,SiU3,89 725,90 337,89 351,90 375,89 261,90 308,"+1,04 %",15,264 789,79 859 816 243,890 066,506 375 561 822,5 605 406,14 442
18.07.2023,SiU3,90 045,90 005,90 306,90 525,89 694,89 989,"-0,35 %",3,233 773,73 822 458 057,819 844,514 937 686 060,5 721 212,14 404
19.07.2023,SiU3,90 278,90 216,89 992,90 738,89 850,90 213,"+0,25 %",1,225 995,75 175 217 482,832 710,523 029 425 184,5 797 524,14 484
20.07.2023,SiU3,89 757,89 560,90 233,90 350,89 270,89 599,"-0,68 %",30,309 549,115 002 416 074,1 281 261,501 271 260 640,5 597 044,14 332
21.07.2023,SiU3,89 515,90 120,89 500,90 187,88 881,90 130,"+0,59 %",20,263 845,91 146 307 256,1 018 219,508 799 856 480,5 645 804,14 413
24.07.2023,SiU3,89 746,89 496,90 130,90 379,89 330,89 470,"-0,73 %",30,231 000,66 179 819 922,737 415,501 954 246 288,5 608 678,14 321
25.07.2023,SiU3,89 345,89 564,89 504,89 680,89 020,89 538,"+0,08 %",1,196 812,59 586 438 576,666 924,497 432 007 392,5 553 928,14 294
26.07.2023,SiU3,89 306,89 315,89 533,89 669,89 112,89 308,"-0,26 %",2,152 531,45 585 230 472,510 438,498 667 973 750,5 583 250,14 251
27.07.2023,SiU3,89 551,89 934,89 338,90 065,88 984,89 936,"+0,70 %",21,270 470,89 082 656 167,994 772,508 662 387 168,5 655 952,14 332
28.07.2023,SiU3,90 435,90 943,89 900,91 130,89 710,90 940,"+1,12 %",10,224 587,80 056 030 081,885 211,522 789 109 448,5 748 536,14 488
31.07.2023,SiU3,91 015,90 831,90 930,91 875,90 550,90 838,"-0,11 %",7,275 259,98 522 992 738,1 082 490,526 524 417 588,5 796 748,14 460
01.08.2023,SiU3,91 228,91 810,90 826,91 850,90 583,91 835,"+1,10 %",1,210 798,75 136 506 050,823 618,541 623 179 520,5 899 392,14 572
02.08.2023,SiU3,92 606,93 324,91 801,93 619,91 525,93 344,"+1,64 %",1,326 096,115 735 442 771,1 249 796,552 287 885 688,5 917 962,14 841
03.08.2023,SiU3,93 177,93 614,93 280,93 958,92 476,93 605,"+0,28 %",2,384 957,143 006 234 000,1 534 758,550 538 691 616,5 880 944,14 938
04.08.2023,SiU3,94 153,94 818,93 636,95 230,93 295,94 837,"+1,32 %",1,341 519,120 732 578 297,1 282 364,562 421 500 620,5 931 590,15 094
07.08.2023,SiU3,95 132,94 379,94 815,96 102,93 300,94 385,"-0,48 %",1,458 475,155 044 593 855,1 629 751,553 270 272 622,5 862 218,15 024
08.08.2023,SiU3,95 369,96 185,94 388,96 566,94 101,96 188,"+1,91 %",33,408 263,133 084 319 935,1 395 489,573 044 452 420,5 957 732,15 284
