BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2023-08-29,Роснефть,ROSN,65842,2399174029.15,545.35,539.05,559.3,540.0,544.95,558.3,4401756,542.75,542.75,,1557339281.9,1557339281.9,,0,3,SUR,2.34
TQBR,2023-08-30,Роснефть,ROSN,72654,3430907750.75,562.0,550.65,564.4,554.95,556.25,556.9,6167526,555.95,555.95,,2945669079.85,2945669079.85,,0,3,SUR,-0.25
TQBR,2023-08-31,Роснефть,ROSN,37766,1435196378.95,557.1,553.55,558.45,556.8,556.5,556.15,2579148,556.45,556.45,,1331431116.35,1331431116.35,,0,3,SUR,-0.13
TQBR,2023-09-01,Роснефть,ROSN,38192,1477912773.5,556.5,553.05,559.65,558.9,556.95,559.15,2653686,556.6,556.6,,1189270013.55,1189270013.55,,0,3,SUR,0.54
TQBR,2023-09-04,Роснефть,ROSN,59972,2372704940.05,559.95,559.9,568.8,566.85,565.65,567.25,4194716,565.5,565.5,,2136220224.35,2136220224.35,,0,3,SUR,1.45
TQBR,2023-09-05,Роснефть,ROSN,77071,3660490300.85,568.0,565.05,575.75,572.55,571.35,574.4,6406793,571.05,571.05,,3340182150.35,3340182150.35,,0,3,SUR,1.26
TQBR,2023-09-06,Роснефть,ROSN,51439,2765034702.65,574.5,570.15,582.25,578.05,577.95,578.8,4784201,577.8,577.8,,2536387672.65,2536387672.65,,0,3,SUR,0.77
TQBR,2023-09-07,Роснефть,ROSN,82830,4013184354.4,578.8,555.25,584.0,566.8,571.9,564.6,7017316,572.3,572.3,,3724856229.0,3724856229.0,,0,3,SUR,-2.45
TQBR,2023-09-08,Роснефть,ROSN,50484,1820941441.7,564.5,552.6,567.45,559.0,558.3,557.95,3261457,558.4,558.4,,1691041885.45,1691041885.45,,0,3,SUR,-1.18
TQBR,2023-09-11,Роснефть,ROSN,63329,2307775208.8,557.5,542.05,558.25,553.5,551.15,549.1,4187326,551.15,551.15,,2084691672.35,2084691672.35,,0,3,SUR,-1.59
TQBR,2023-09-12,Роснефть,ROSN,40850,1704021502.7,551.9,551.7,562.8,557.0,556.35,562.0,3062266,555.6,555.6,,1326859278.25,1326859278.25,,0,3,SUR,2.35
