,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
738,TQBR,2023-03-21,ROSN,79458,2467428822.4,379.5,367.65,384.7,376.5,371.8,6554295,,,-1.48
739,TQBR,2023-03-22,ROSN,48867,1253723091.45,371.0,368.25,379.7,374.65,375.5,3346310,,,1.0
740,TQBR,2023-03-23,ROSN,29957,655266494.3,375.7,371.8,378.05,375.05,374.45,1746571,,,-0.28
741,TQBR,2023-03-24,ROSN,21065,462422187.05,375.1,373.4,378.0,375.65,377.25,1230966,,,0.75
742,TQBR,2023-03-27,ROSN,44045,1118996484.95,378.95,377.65,384.95,382.1,383.25,2928598,,,1.59
743,TQBR,2023-03-28,ROSN,35702,863613401.2,384.2,377.65,384.55,380.45,381.5,2270117,,,-0.46
744,TQBR,2023-03-29,ROSN,43498,1220035155.0,383.0,378.15,386.65,384.05,385.45,3176687,,,1.04
745,TQBR,2023-03-30,ROSN,32652,656396426.85,385.55,383.0,387.85,385.85,386.15,1701207,,,0.18
746,TQBR,2023-03-31,ROSN,87305,1178874915.35,386.95,376.1,386.95,380.05,380.9,3101882,,,-1.36
747,TQBR,2023-04-03,ROSN,88514,2501569094.75,393.8,388.1,396.0,391.7,390.9,6386926,,,2.63
748,TQBR,2023-04-04,ROSN,41289,1271175388.6,391.9,387.25,394.1,391.65,390.0,3245886,,,-0.23
749,TQBR,2023-04-05,ROSN,33719,1029102334.2,390.3,382.15,391.95,387.8,389.7,2653529,,,-0.08
750,TQBR,2023-04-06,ROSN,38564,1042080514.8,390.0,388.6,393.4,391.5,389.8,2661881,,,0.03
751,TQBR,2023-04-07,ROSN,35537,698723679.6,390.75,386.65,392.2,389.4,391.7,1794366,,,0.49
752,TQBR,2023-04-10,ROSN,40256,990544612.05,391.75,391.2,395.45,393.65,393.5,2516249,,,0.46
753,TQBR,2023-04-11,ROSN,45011,1351796607.4,395.0,385.1,397.45,391.75,388.35,3450707,,,-1.31
754,TQBR,2023-04-12,ROSN,20961,578810521.4,388.5,388.1,391.9,390.3,390.9,1483006,,,0.66
755,TQBR,2023-04-13,ROSN,18484,429843742.65,391.75,387.3,391.8,389.35,390.1,1103838,,,-0.2
756,TQBR,2023-04-14,ROSN,28154,857112310.75,389.95,385.25,394.0,389.6,392.4,2199947,,,0.59
757,TQBR,2023-04-17,ROSN,29791,823153403.75,395.0,392.6,395.95,395.0,395.85,2083987,,,0.88
758,TQBR,2023-04-18,ROSN,30432,915129010.4,396.0,393.85,398.85,396.65,397.0,2307018,,,0.29
759,TQBR,2023-04-19,ROSN,42407,1693173174.5,397.3,394.9,402.95,398.7,396.1,4246676,,,-0.23
760,TQBR,2023-04-20,ROSN,36680,1351839216.25,395.75,390.05,399.0,394.9,396.5,3423777,,,0.1
761,TQBR,2023-04-21,ROSN,20611,739782278.9,397.8,394.55,401.0,398.55,398.75,1856130,,,0.57
762,TQBR,2023-04-24,ROSN,18864,587716640.0,398.0,396.8,400.95,399.6,400.4,1470849,,,0.41
763,TQBR,2023-04-25,ROSN,19985,529170969.8,399.8,395.0,400.75,397.65,396.45,1330774,,,-0.99
764,TQBR,2023-04-26,ROSN,19827,489541347.15,396.15,395.45,399.5,397.35,395.75,1231944,,,-0.18
765,TQBR,2023-04-27,ROSN,16926,514370231.05,396.0,394.35,398.6,396.2,398.25,1298205,,,0.63
766,TQBR,2023-04-28,ROSN,24827,849884782.55,398.9,393.3,399.75,395.2,393.8,2148857,,,-1.12
767,TQBR,2023-05-02,ROSN,35000,1017407946.8,393.8,387.5,395.8,391.7,390.0,2596818,,,-0.96
768,TQBR,2023-05-03,ROSN,43801,1125362417.25,390.0,377.05,390.15,384.15,378.0,2929961,,,-3.08
769,TQBR,2023-05-04,ROSN,29491,726833768.35,378.45,376.0,382.1,378.25,379.95,1921550,,,0.52
770,TQBR,2023-05-05,ROSN,29953,689255236.8,379.5,376.0,383.0,380.2,378.65,1812937,,,-0.34
771,TQBR,2023-05-08,ROSN,10257,258054153.85,379.9,378.75,382.6,380.45,381.1,678275,,,0.65
772,TQBR,2023-05-10,ROSN,34174,877393984.4,381.0,380.05,393.45,388.6,392.1,2258482,,,2.89
773,TQBR,2023-05-11,ROSN,53070,1657217331.2,392.5,387.4,398.95,395.05,391.65,4194733,,,-0.11
774,TQBR,2023-05-12,ROSN,45764,980009313.7,391.8,390.7,398.95,395.3,398.95,2479086,,,1.86
775,TQBR,2023-05-15,ROSN,60080,1986968218.6,399.0,397.15,409.0,403.1,407.85,4928073,,,2.23
776,TQBR,2023-05-16,ROSN,48104,1260261130.15,409.0,405.25,413.8,409.5,410.75,3077580,,,0.71
777,TQBR,2023-05-17,ROSN,39387,1185508447.4,410.75,406.05,418.95,411.55,414.8,2880527,,,0.99
778,TQBR,2023-05-18,ROSN,37694,1163424551.25,416.0,411.25,417.0,415.3,414.1,2801715,,,-0.17
